,time,1105,1520,1827,2852,4534,5851,7139,7883,8202,8371,8853,8941,9054,9077,9511,9641,11001,11429,11447,11485,11741,11939,11988,12038,12299,12327,13019,14340,15045,15741,16318,18536,19016,19113,19672,19684,20824,21242,21297,22208,22877,25055,25472,25865,26126,27035,27323,28310,29696,30481,31123,33108,33329,33487,33871,34041,34079,34304,34700,35881,36112,36345,36751,37096,38111,38880,38896,39534,39582,39615,40395,40527,41540,41587,41919,42012,42028,42049,42300,42897,44827,45178,45183,45266,46358,47359,47520,48638,48738,48921,49000,49139,50510,50531,50646,51380,51869,52327,53045
37,2022-07-09,,,,,,,,0.54,,,,2.45,,,,,,,,,,,,0.44,,,,,,,,,0.5,,0.49,,1.12,,,0.77,,0.52,,1.36,,,,,0.14,0.36,0.4,0.5,0.8,0.54,,,,,1.27,,,0.16,,,,,0.5,,,2.03,3.7,,,0.18,,,1.36,,,1.65,,,0.49,,,,,,,,,,,,,0.34,,0.0,0.39
38,2022-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2022-07-14,0.66,0.7,1.15,,0.99,1.23,,,0.68,,0.41,1.69,1.88,1.17,,0.72,,,0.44,0.07,,0.76,1.1,0.18,1.17,,1.71,,0.24,0.29,1.24,0.29,,0.26,0.2,0.18,0.75,,,1.95,0.59,,,0.92,0.0,,0.09,0.3,,0.34,0.34,0.11,0.69,0.62,0.69,0.0,1.7,0.58,0.76,0.63,1.22,0.0,0.0,0.04,,0.46,,1.9,1.33,,2.37,,0.42,0.48,,0.33,1.62,1.2,0.31,,0.25,,0.19,2.47,1.19,1.1,0.52,0.0,0.27,0.03,0.58,0.14,1.55,0.0,0.33,0.0,0.57,,
40,2022-07-17,,,,0.12,,,,,,,,,,,,,0.13,,,,,,,,,,,0.76,,,,,,,,,,0.38,0.5,,,,0.27,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2022-07-19,0.85,0.72,0.54,,0.41,0.51,,0.04,0.0,0.33,0.58,0.66,,0.38,0.0,0.61,,0.12,0.11,0.03,1.06,0.43,0.38,0.0,,0.23,1.53,,0.06,0.33,0.09,0.03,0.48,0.22,0.15,0.27,0.56,,,0.17,0.54,0.02,,0.23,0.0,0.0,0.1,0.01,0.07,0.05,0.52,0.0,0.62,0.55,0.76,0.24,0.0,0.41,0.59,0.07,0.9,0.03,0.0,0.09,,0.43,,0.0,0.58,0.48,2.3,,0.0,0.05,0.28,0.04,1.51,1.22,0.15,0.44,0.27,0.41,0.22,1.72,0.02,0.41,0.0,0.0,0.0,0.02,0.0,0.14,0.68,0.0,0.54,0.04,0.29,0.06,0.11
42,2022-07-22,,,,0.03,,,,,,,,,,,,,0.1,,,,,,,,,,,0.48,,,,,,,,,,0.1,0.14,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2022-07-24,0.97,0.8,0.26,,0.44,0.5,0.34,0.12,0.0,0.0,0.87,0.23,0.34,,0.0,,,0.45,0.13,0.02,0.94,0.42,,,,0.0,1.42,,0.0,0.16,0.0,0.23,0.19,0.0,0.13,,0.43,,,,0.68,1.26,,0.12,0.06,,0.08,0.0,,0.11,0.44,0.0,0.18,0.46,,1.86,,,,0.07,0.0,,,0.02,,0.55,0.0,0.02,1.03,,0.92,,0.02,,1.9,0.07,1.32,1.03,0.23,0.2,0.35,0.0,0.36,1.12,0.02,0.45,0.0,0.0,,0.12,0.0,,0.04,0.0,,0.03,0.2,,0.12
44,2022-08-01,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,0.28,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2022-08-03,0.59,0.12,0.25,,0.38,0.43,,0.07,0.11,0.0,1.05,0.36,0.08,0.73,0.03,0.45,,0.02,0.32,0.29,1.33,0.77,0.21,0.0,0.88,0.0,1.6,,0.04,0.28,0.13,0.36,0.34,0.04,0.01,,0.45,,,0.33,1.13,,,,0.71,0.0,0.11,0.0,0.41,0.44,0.51,0.26,0.19,0.26,1.11,0.2,0.06,0.68,0.44,0.09,0.52,0.06,0.26,0.36,,0.15,0.0,0.0,0.69,0.02,0.36,,0.09,0.23,0.04,0.47,0.59,0.47,0.46,0.26,0.73,0.01,0.93,0.82,0.0,0.25,0.05,0.0,0.85,0.0,0.0,0.49,0.47,0.59,0.14,0.01,0.25,,0.17
46,2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,0.04,,,,,,,,1.58,,,,,,,,,,,,,,,,,,
47,2022-08-11,,,,0.11,,,,,,,,,,,,,0.67,,,,,,,,,,,0.61,,,,,,,,,,0.27,0.97,,,,1.44,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2022-08-13,,,0.28,,0.22,,,0.0,0.92,,,,0.08,1.01,,,,,,0.0,0.62,0.11,0.23,,,,,,0.0,0.29,,0.22,0.11,1.63,,5.6,0.04,,,0.06,,,,,,,0.36,,,,,,,,,,,1.8,,,,0.0,,,,,,,0.6,0.08,,,,,0.0,1.23,0.9,,0.77,0.17,,0.51,,0.62,,0.3,,0.04,,,0.15,0.23,0.79,,0.07,0.13,,,0.31
